bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	6528720	6528721	117	336	6465086	0.533973889949129
chr1	6528721	12246873	5718153	68	115	12192985	0.48296713915361
chr1	12246874	18942362	6695489	89	102	18887271	0.476451493874311
chr1	18942363	24687364	5745002	86	105	24635821	0.477653887777248
chr1	24687365	30708251	6020887	100	115	30653344	0.474733444749845
chr1	30708252	36355143	5646892	82	102	36297124	0.460691387371619
chr1	36355144	41991604	5636461	80	98	41941416	0.461970154583648
chr1	41991605	47769536	5777932	103	102	47710525	0.451105151056271
chr1	47769537	53398114	5628578	37	54	53341427	0.414805444639279
chr1	53398115	58820263	5422149	40	41	58767009	0.434050561827801
chr1	58820264	64320373	5500110	26	29	64267934	0.401677867910316
chr1	64320374	69828444	5508071	29	30	69774012	0.393045981554721
chr1	69828445	75221496	5393052	18	10	75166958	0.359550624733394
chr1	75221497	80741982	5520486	25	22	80690636	0.374358477188515
chr1	80741983	86346707	5604725	23	23	86282171	0.373535274652698
chr1	86346708	91903953	5557246	31	34	91844984	0.386928963832623
chr1	91903954	97485615	5581662	40	33	97433702	0.396818652572915
chr1	97485616	102898325	5412710	28	19	102844175	0.367218540746309
chr1	102898326	108697839	5799514	13	6	108643232	0.356409124371457
chr1	108697840	114514620	5816781	94	82	114459517	0.429420404820058
chr1	114514621	120055254	5540634	40	39	119996885	0.408522195024635
chr1	120055255	152712103	32656849	171	204	96595749	0.427557455921993
chr1	152712104	158509580	5797477	182	125	90794202	0.457002414016629
chr1	158509581	164223982	5714402	104	52	85086087	0.410075803061867
chr1	164223983	169720293	5496311	48	39	79585140	0.407237534914352
chr1	169720294	175375616	5655323	63	24	73926173	0.389361099308662
chr1	175375617	180899167	5523551	33	27	68404169	0.405876999042451
chr1	180899168	186374362	5475195	39	36	62929349	0.406122463237423
chr1	186374363	191751853	5377491	5	1	57550751	0.346439231719859
chr1	191751854	197221919	5470066	21	7	52084303	0.351949667332598
chr1	197221920	202763779	5541860	45	46	46544596	0.410029856708822
chr1	202763780	208774670	6010891	89	71	40527362	0.453113917690308
chr1	208774671	214302424	5527754	43	44	35001281	0.417075610337083
chr1	214302425	219641206	5338782	12	22	29663081	0.377944115874355
chr1	219641207	225443938	5802732	38	45	23872565	0.40828811180585
chr1	225443939	231027050	5583112	58	97	18276412	0.451368913319753
chr1	231027051	236627270	5600220	41	42	12682056	0.42177005100664
chr1	236627271	242061591	5434321	21	18	7245467	0.389095578079333
chr1	242061592	247990093	5928502	43	55	1319017	0.41592273605416
chr2	0	5596346	5596347	19	78	5543831	0.435408725227159
chr2	5596347	10971866	5375520	31	46	10914761	0.433986919091478
chr2	10971867	16447679	5475813	16	21	16390600	0.40643769615142
chr2	16447680	21884793	5437114	23	27	21832734	0.407970628380334
chr2	21884794	27410305	5525512	50	65	27353411	0.430204435219942
chr2	27410306	32938994	5528689	60	42	32878489	0.427778051252823
chr2	32938995	38474427	5535433	23	17	38422132	0.38766678150329
chr2	38474428	43992800	5518373	28	32	43938049	0.404232409131321
chr2	43992801	49480680	5487880	39	47	49419966	0.422611424941424
chr2	49480681	54861235	5380555	13	14	54810270	0.369195313915115
chr2	54861236	60326700	5465465	18	14	60269940	0.377549381417744
chr2	60326701	65960021	5633321	38	48	65908187	0.412330846775885
chr2	65960022	71508689	5548668	48	49	71445928	0.409711600846942
chr2	71508690	77053223	5544534	59	65	76991847	0.418549693056134
chr2	77053224	82452342	5399119	9	7	82399176	0.364901117945507
chr2	82452343	89074866	6622524	54	51	89011027	0.404950479225227
chr2	89074867	101219535	12144669	68	93	101157493	0.433425963483132
chr2	101219536	106597713	5378178	27	33	106544269	0.407917137383745
chr2	106597714	113760819	7163106	56	57	113709219	0.421349184180429
chr2	113760820	119491007	5730188	25	26	119437689	0.387641624900368
chr2	119491008	124912836	5421829	24	49	118347644	0.423643926109242
chr2	124912837	130378456	5465620	17	46	112876462	0.417124443629312
chr2	130378457	136995953	6617497	57	80	106257775	0.419058258119927
chr2	136995954	142369021	5373068	6	5	100883927	0.368599423291305
chr2	142369022	147664157	5295136	6	7	95588626	0.361830488737835
chr2	147664158	153275193	5611036	18	17	89975788	0.387434136315664
chr2	153275194	158723045	5447852	12	15	84530654	0.365633823882039
chr2	158723046	164205448	5482403	24	24	79044586	0.380346117278878
chr2	164205449	169607965	5402517	17	10	73644323	0.368868175975686
chr2	169607966	175173305	5565340	41	51	68092591	0.402813150092187
chr2	175173306	180652056	5478751	44	65	62605019	0.391664512013367
chr2	180652057	186082762	5430706	15	13	57169436	0.361252314709136
chr2	186082763	191543527	5460765	29	18	51707769	0.362306171490992
chr2	191543528	197005273	5461746	11	9	46253757	0.361224544274888
chr2	197005274	202568351	5563078	45	36	40685742	0.390768972741701
chr2	202568352	208132321	5563970	39	25	35117942	0.403285868192017
chr2	208132322	213649178	5516857	24	24	29608391	0.371328335535811
chr2	213649179	219074637	5425459	25	20	24185578	0.40268076368217
chr2	219074638	224515241	5440604	68	85	18737380	0.420197051085436
chr2	224515242	229992881	5477640	21	17	13259021	0.39113732800083
chr2	229992882	235691806	5698925	70	64	7568468	0.441684265602319
chr2	235691807	241096111	5404305	38	82	2156364	0.470914809422687
chr3	0	5549277	5549278	14	17	5497946	0.387338887210625
chr3	5549278	11028048	5478771	46	41	10977610	0.419092549260372
chr3	11028049	16547807	5519759	51	65	16496452	0.455723893099551
chr3	16547808	22048470	5500663	13	13	21989195	0.376544936495616
chr3	22048471	27557189	5508719	15	15	27498408	0.384407321277631
chr3	27557190	33016277	5459088	18	26	32953862	0.391182416652111
chr3	33016278	38550840	5534563	33	28	38498681	0.398355201842473
