bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	865427	865428	16	16	795847	0.436205950913324
chr1	865428	977835	112408	7	14	919083	0.622313358479364
chr1	977836	1091337	113502	1	20	1033648	0.607760215678909
chr1	1091338	1200862	109525	10	21	1146783	0.616188084912305
chr1	1200863	1312092	111230	9	16	1257393	0.627375707992309
chr1	1312093	1455237	143145	9	17	1371964	0.565021481714259
chr1	1455238	1594265	139028	7	21	1518266	0.57229478953916
chr1	1594266	1758056	163791	4	14	1699329	0.523123981170971
chr1	1758057	1876561	118505	2	6	1818992	0.521480106324317
chr1	1876562	1989902	113341	3	13	1934728	0.56332659849477
chr1	1989903	2101293	111391	0	10	2043907	0.558384429621874
chr1	2101294	2211809	110516	3	6	2156893	0.581743819899796
chr1	2211810	2319737	107928	2	14	2264922	0.590171225261305
chr1	2319738	2422700	102963	3	13	2372175	0.61464798034274
chr1	2422701	2530819	108119	7	16	2473328	0.616579879577226
chr1	2530820	2734370	203551	0	5	2584410	0.581667784649089
chr1	2734371	2837380	103010	0	3	2786846	0.579700999903
chr1	2837381	2941980	104600	1	8	2889533	0.548565965583355
chr1	2941981	3043910	101930	2	7	2992974	0.574119493769928
chr1	3043911	3146713	102803	1	7	3095869	0.57131601217818
chr1	3146714	3251512	104799	0	9	3199251	0.566493955095138
chr1	3251513	3353562	102050	0	9	3303026	0.576580107790063
chr1	3353563	3456461	102899	2	7	3405585	0.604058348477374
chr1	3456462	3562165	105704	3	8	3509428	0.598246045561327
chr1	3562166	3667838	105673	2	6	3615145	0.581435182118457
chr1	3667839	3780323	112485	5	6	3724768	0.513766279948163
chr1	3780324	4039451	259128	2	4	3836805	0.51147437070113
chr1	4039452	4151406	111955	0	0	4093214	0.499897280157195
chr1	4151407	4263809	112403	0	2	4205885	0.482558294707279
chr1	4263810	4372508	108699	0	0	4320243	0.454760393379705
chr1	4372509	4478015	105507	1	0	4426010	0.484517614944754
chr1	4478016	4582449	104434	0	0	4530508	0.485761342091596
chr1	4582450	4689379	106930	0	0	4634873	0.465248293276267
chr1	4689380	4793865	104486	1	3	4741813	0.528405719426201
chr1	4793866	4897162	103297	0	1	4845284	0.479316921111306
chr1	4897163	5009809	112647	0	0	4957105	0.449110939483343
chr1	5009810	5118840	109031	0	0	5061255	0.438554172666815
chr1	5118841	5227839	108999	0	0	5171933	0.423462600574446
chr1	5227840	5333263	105424	0	0	5280904	0.43507171042653
chr1	5333264	5438635	105372	0	0	5385945	0.468976578217798
chr1	5438636	5541306	102671	0	0	5489528	0.489125458990411
chr1	5541307	5646410	105104	0	0	5593695	0.464606485005546
chr1	5646411	5754660	108250	0	0	5699277	0.470595842956269
chr1	5754661	5862660	108000	0	2	5808709	0.50808333333344
chr1	5862661	5968690	106030	1	2	5916939	0.527407337546044
chr1	5968691	6073585	104895	1	1	6021204	0.506535106535264
chr1	6073586	6180708	107123	1	3	6128141	0.548024233824286
chr1	6180709	6292611	111903	3	9	6234130	0.54941333118902
chr1	6292612	6402788	110177	3	8	6345207	0.561333127603554
