bin.chrom	bin.start	bin.end	window
chr1	0	977835	977836
chr1	3353563	4582449	1228887
chr1	12470856	14436688	1965833
chr1	16695950	18103597	1407648
chr1	23658163	24907897	1249735
chr1	29710615	30924455	1213841
chr1	83099647	84384116	1284470
chr1	103124570	104590361	1465792
chr1	107850559	109144131	1293573
chr1	120291655	145520501	25228847
chr1	145520502	147636954	2116453
chr1	147636955	150608832	2971878
chr1	160971060	162235668	1264609
chr1	205195408	206793240	1597833
chr1	223196221	224527144	1330924
chr1	242305206	243694799	1389594
chr2	86851768	89074866	2223099
chr2	89074867	95882174	6807308
chr2	95882175	97411853	1529679
chr2	97411854	98976781	1564928
chr2	106597714	107817346	1219633
chr2	108972437	110296082	1323646
chr2	110296083	112422953	2126871
chr2	112422954	113760819	1337866
chr2	113760820	115108396	1347577
chr2	130378457	132106636	1728180
chr2	132106637	133670546	1563910
chr3	75165332	76626660	1461329
chr3	89552038	93801968	4249931
chr3	124532722	125796325	1263604
chr3	129063936	130294797	1230862
chr3	196668268	198022429	1354162
chr4	3489584	4760095	1270512
chr4	8021053	9498461	1477409
chr4	9498462	10700737	1202276
chr4	48806634	53478288	4671655
chr4	119394522	120707950	1313429
chr4	131743882	133011254	1267373
chr5	17455036	18645126	1190091
chr5	19723544	20954773	1231230
chr5	20954774	22271814	1317041
chr5	33168086	34503923	1335838
chr5	45707515	50047811	4340297
chr5	67768779	70751669	2982891
chr5	174574087	175932061	1357975
chr5	177067177	178499248	1432072
chr6	0	1272802	1272803
chr6	26554673	27908116	1353444
chr6	27908117	29027346	1119230
chr6	29027347	30168086	1140740
chr6	30168087	31340585	1172499
chr6	31340586	32586310	1245725
chr6	32586311	33713054	1126744
chr6	56802090	58277824	1475735
chr6	58277825	62832978	4555154
chr6	95211510	96474224	1262715
chr6	166816102	168061956	1245855
chr7	5820899	7297124	1476226
chr7	32366003	33620855	1254853
chr7	34708194	35969865	1261672
chr7	55955467	57588378	1632912
chr7	57588379	62709728	5121350
chr7	62709729	64410944	1701216
chr7	64410945	66075211	1664267
chr7	66075212	67444605	1369394
chr7	71919056	73630106	1711051
chr7	73630107	75822382	2192276
chr7	75822383	77487101	1664719
chr7	100965296	102491081	1525786
chr7	130093295	131313611	1220317
chr7	142508685	144105010	1596326
chr7	148499614	149768172	1268559
chr7	149768173	151033999	1265827
chr7	153399972	154781186	1381215
chr8	0	1326197	1326198
chr8	6753373	8930227	2176855
chr8	11088518	12753014	1664497
chr8	43464189	47654128	4189940
chr8	86392240	87760978	1368739
chr8	144620314	145990401	1370088
chr9	0	1284401	1284402
chr9	37805664	41980038	4174375
chr9	41980039	71333409	29353371
chr9	91421109	92739753	1318645
chr9	96121251	97354152	1232902
chr9	99573680	100842975	1269296
chr9	132822531	134100988	1278458
chr10	0	1221073	1221074
chr10	17712660	19247545	1534886
chr10	38494139	43445744	4951606
chr10	45680052	48516978	2836927
chr10	48516979	50254617	1737639
