bin.chrom	bin.start	bin.end	window
chr1	0	1200862	1200863
chr1	12687497	14004077	1316581
chr1	16695950	17435203	739254
chr1	83306406	83963136	656731
chr1	103913956	104590361	676406
chr1	108484752	109144131	659380
chr1	120291655	121326396	1034742
chr1	121326397	145073280	23746884
chr1	145073281	145823581	750301
chr1	145823582	146966921	1143340
chr1	146966922	147636954	670033
chr1	147636955	149883876	2246922
chr1	205638492	206572389	933898
chr1	223649624	224281500	631877
chr1	243058683	243694799	636117
chr2	86637784	87377382	739599
chr2	87377383	88613046	1235664
chr2	89074867	90241996	1167130
chr2	90241997	95658971	5416975
chr2	96181695	96948653	766959
chr2	97411854	98319589	907736
chr2	109946580	110878179	931600
chr2	110878180	111709232	831053
chr2	111709233	112422953	713721
chr2	113977392	114666815	689424
chr2	130986951	131754607	767657
chr2	131754608	132457223	702616
chr2	132457224	133243053	785830
chr3	75165332	75974338	809007
chr3	90243914	93801968	3558055
chr3	197339330	198022429	683100
chr4	8680548	9498461	817914
chr4	48806634	52757532	3950899
chr5	34039509	34724720	685212
chr5	45951245	49482387	3531143
chr5	68682324	70990227	2307904
chr5	175222715	175932061	709347
chr5	176833768	177597455	763688
chr6	0	625498	625499
chr6	26554673	27233674	679002
chr6	57484444	58277824	793381
chr6	58277825	62098051	3820227
chr7	6659855	7297124	637270
chr7	56531510	57344928	813419
chr7	57344929	58000218	655290
chr7	58000219	62189670	4189452
chr7	62709729	63690536	980808
chr7	64169351	64796223	626873
chr7	64796224	65546857	750634
chr7	72279603	73133452	853850
chr7	74140303	75563584	1423282
chr7	76074057	77032590	958534
chr7	101711920	102491081	779162
chr7	142953499	143701864	748366
chr7	143701865	144325500	623636
chr7	149768173	150386400	618228
chr8	0	652208	652209
chr8	6753373	8262459	1509087
chr8	11735440	12753014	1017575
chr8	43464189	46990468	3526280
chr8	86392240	87104813	712574
chr8	144848138	145531766	683629
chr9	38737330	44779994	6042665
chr9	44779995	69197273	24417279
chr9	69197274	71333409	2136136
chr9	92279202	92954883	675682
chr10	17712660	18574666	862007
chr10	38494139	42495236	4001098
chr10	42495237	43185715	690479
chr10	45933242	47115622	1182381
chr10	47115623	48516978	1401356
chr10	48516979	49632833	1115855
chr10	50887001	52093890	1206890
chr10	81170068	81865216	695149
chr10	88465870	89184259	718390
chr11	0	647018	647019
chr11	48781862	49502328	720467
chr11	49502329	50193119	690791
chr11	50720119	54897631	4177513
chr11	88932485	89838289	905805
chr12	8261653	8895670	634018
chr12	34541833	38103487	3561655
chr13	0	19809048	19809049
chr13	52702130	53361576	659447
chr13	115048768	115169877	121110
chr14	0	20511006	20511007
chr14	106004073	106623276	619204
chr14	107118565	107349539	230975
chr15	0	22385558	22385559
chr15	22385559	23061245	675687
chr15	23061246	23986228	924983
chr15	28077188	28698536	621349
chr15	28698537	29523940	825404
chr15	29966209	30929576	963368
chr15	32406791	33274406	867616
chr15	82148773	83237782	1089010
chr15	84598938	85328014	729077
chr16	14650027	15675645	1025619
chr16	16140092	17087569	947478
chr16	17962109	19009705	1047597
chr16	21379441	22178369	798929
chr16	22178370	22804363	625994
chr16	28116476	28905436	788961
chr16	28905437	29808115	902679
chr16	31895630	33526811	1631182
chr16	33526812	34410498	883687
chr16	34866227	46503810	11637584
chr16	69822706	70504404	681699
chr16	70504405	71246391	741987
chr17	15326514	15984961	658448
chr17	17962435	18767911	805477
chr17	18767912	19433579	665668
chr17	19909102	20641741	732640
chr17	21148198	21787716	639519
chr17	21787717	25397061	3609345
chr17	34241024	35019978	778955
chr17	35909312	36535412	626101
chr17	44147919	45027417	879499
chr18	13869915	14664475	794561
chr18	14664476	18639364	3974889
chr19	0	741861	741862
chr19	24113813	27750503	3636691
chr19	43093790	43850818	757029
chr19	55127177	55757267	630091
chr19	59040927	59128982	88056
chr20	25388095	26097064	708970
chr20	26097065	29983090	3886026
chr20	62819330	63025519	206190
chr21	0	11130529	11130530
chr21	11130530	15549570	4419041
chr21	47879225	48129894	250670
chr22	0	17566849	17566850
chr22	18517584	19219098	701515
chr22	20106332	20955026	848695
chr22	21454619	22339022	884404
chrX	0	732878	732879
chrX	732879	1508358	775480
chrX	47775185	48418624	643440
chrX	48908465	49566514	658050
chrX	52075855	53248466	1172612
chrX	58313359	61995962	3682604
chrX	71817578	72571515	753938
chrX	88191518	88993991	802474
chrX	88993992	90144281	1150290
chrX	90144282	90839831	695550
chrX	90839832	92018780	1178949
chrX	92018781	92687451	668671
chrX	101253034	102004756	751723
chrX	148709863	149361237	651375
chrX	152113415	152780279	666865
chrY	0	3513827	3513828
chrY	3513828	4858271	1344444
chrY	4858272	6451547	1593276
chrY	8975167	9966715	991549
chrY	9966716	13845301	3878586
chrY	18253274	18914576	661303
chrY	19378900	21245343	1866444
chrY	22170868	22889811	718944
chrY	23391997	24366311	974315
chrY	24366312	59373565	35007254
